FrameNo,Joy Evidence,Anger Evidence,Surprise Evidence,Fear Evidence,Sadness Evidence
184,0.877569071,0.796257629,0.510724324,0.810240742,0.755725813
185,0.883136782,0.820511269,0.52442555,0.786933255,0.876887786
186,0.858505022,0.913396113,0.679908578,0.853810872,0.931154002
187,0.454286298,0.782022054,0.301791963,0.492192775,0.646878811
188,0.874536337,0.901088707,0.548510914,0.830472091,0.917119573
189,0.858821178,0.943569687,0.740826957,0.857207268,0.913531949
190,0.904989729,0.848269988,0.606742391,0.83114727,0.890177224
191,0.840570665,0.709924549,0.461243564,0.72639311,0.780460011
192,0.602127556,0.816111576,0.39400224,0.585098293,0.74347479
193,0.741530227,0.641429778,0.282759528,0.670471554,0.671899218
194,0.896144519,0.850440034,0.499324127,0.78321143,0.848846442
195,0.754722199,0.717584265,0.512093261,0.681623701,0.748080675
196,0.899422419,0.829505141,0.529951593,0.781615338,0.864886611
197,0.642446631,0.725429664,0.389281941,0.67054974,0.618165568
198,0.657072321,0.692171387,0.498290165,0.673272077,0.702629664
199,0.752934709,0.655969223,0.536437305,0.737693944,0.731099907
200,0.457253586,0.746600078,0.319942844,0.54344795,0.579248231
201,0.726244243,0.759448372,0.371783277,0.72370101,0.72077955
202,0.874607276,0.813718331,0.488223467,0.8288616,0.734807812
203,0.525149873,0.638730335,0.326155831,0.603301043,0.680768854
204,0.452716269,0.686089637,0.328136155,0.540564697,0.519696317
205,0.667796141,0.740573631,0.365773139,0.689963773,0.729657144
206,0.6078677,0.638546465,0.314175574,0.594362638,0.596267749
207,0.829672042,0.823615266,0.494637932,0.78643738,0.722497143
208,0.581571616,0.760309027,0.455368428,0.660399803,0.760147176
209,0.870351071,0.757676101,0.478310134,0.762508063,0.730065102
210,0.870832573,0.823454106,0.570200041,0.823392366,0.759079764
211,0.700203059,0.788553169,0.384010277,0.748490829,0.64168117
212,0.820510187,0.839690261,0.487803155,0.766190774,0.719055888
213,0.698919371,0.89262392,0.446251265,0.687930007,0.745676033
214,0.845415033,0.887778645,0.520796279,0.800320401,0.764199239
215,0.834142534,0.866673052,0.505793504,0.80760558,0.792787441
216,0.546887091,0.820695171,0.44202467,0.649704188,0.691713977
217,0.842892234,0.895945716,0.549770308,0.811341874,0.761084917
218,0.660007689,0.813462663,0.515517817,0.717469569,0.679631906
219,0.52615448,0.816788839,0.480604915,0.654134911,0.715338785
220,0.444683629,0.857974049,0.460840381,0.627759539,0.730638172
221,0.400353326,0.810471067,0.429179169,0.619685591,0.744376776
222,0.794525431,0.84981687,0.588373523,0.791213372,0.825445164
223,0.809858499,0.793760662,0.60808604,0.789162512,0.689453519
224,0.836203949,0.776863914,0.572108371,0.785428517,0.723989916
225,0.69386374,0.349298957,0.240078089,0.584987713,0.896474532
226,0.788115975,0.658785422,0.267767843,0.603938991,0.892208737
227,0.920282837,0.756700015,0.537727703,0.82979494,0.894789139
228,0.815673621,0.799914327,0.482410147,0.648212502,0.821349079
229,0.754989652,0.743880815,0.375799368,0.640614209,0.845575991
230,0.83186021,0.733499864,0.373644854,0.65109049,0.765005722
231,0.852271072,0.855335591,0.427857047,0.769658542,0.835321189
232,0.867435746,0.856803029,0.474850798,0.800452228,0.824214208
233,0.900654055,0.894866201,0.441878706,0.815269218,0.895637713
234,0.749439375,0.856485755,0.46396924,0.737585443,0.799855854
235,0.795531844,0.873281389,0.45197538,0.75316413,0.741310452
236,0.18081425,0.83817916,0.054833543,0.369832449,0.632145067
237,0.757208236,0.865435437,0.415457984,0.69048409,0.728608838
238,0.846290553,0.883394752,0.455645111,0.797324362,0.80308824
239,0.720407974,0.785374256,0.520674088,0.72390964,0.781170747
240,0.477573942,0.808210182,0.484161118,0.612419009,0.686080017
241,0.778754784,0.884043604,0.454163358,0.71348012,0.803934727
242,0.759372322,0.772970186,0.561188049,0.75280729,0.749227636
243,0.571809634,0.826091775,0.430162709,0.675329516,0.738805753
244,0.838418393,0.849019793,0.544097967,0.805693206,0.721929178
245,0.516010294,0.835847236,0.359270217,0.588016044,0.717520112
246,0.742168258,0.824539476,0.567090239,0.762358865,0.765694617
247,0.829414836,0.908677851,0.520054307,0.800236313,0.80037484
248,0.877276821,0.893239667,0.42980196,0.795494049,0.838138678
249,0.789120394,0.85677347,0.574168037,0.79932738,0.757700198
250,0.733049611,0.903353765,0.56225296,0.76928906,0.734211604
251,0.844475207,0.826678828,0.525505363,0.767527028,0.809952594
252,0.498511308,0.868694076,0.465042328,0.662990513,0.760694392
253,0.794316098,0.86264673,0.608144089,0.808061089,0.745338599
254,0.749937984,0.81812478,0.560940214,0.755943332,0.746908508
255,0.675256008,0.877286729,0.539662465,0.710409231,0.755983475
256,0.803776061,0.877727987,0.483654459,0.749022054,0.730870006
257,0.826679644,0.864692108,0.509150591,0.802847938,0.785082206
258,0.838572338,0.8674236,0.494221118,0.799760911,0.795911485
259,0.513193614,0.888203171,0.358885965,0.601678196,0.722691251
260,0.831301924,0.84211537,0.563000755,0.803612586,0.774738532
261,0.530360691,0.85161422,0.429947311,0.620880872,0.683043442
262,0.834814392,0.866054084,0.493239056,0.766911052,0.704183325
263,0.777022682,0.824436627,0.537952648,0.74723895,0.709901353
264,0.662605566,0.836829872,0.525060358,0.694759488,0.701253635
265,0.546478787,0.898747893,0.343365263,0.643688078,0.772685166
266,0.611683605,0.793509198,0.515146394,0.671419207,0.686335667
267,0.876096119,0.899190492,0.567870254,0.837316206,0.761020813
268,0.846207435,0.90459725,0.554895224,0.821024176,0.797778985
269,0.765165834,0.830140136,0.384827047,0.726245032,0.727068444
270,0.773974584,0.848233518,0.579270542,0.774409985,0.750495336
